document_id,batch_code,contractor_code,contractor_name,message_id,file_path,transmitted_at,document_order_count,candidate_rows,error_rows,blank_sent_rows,wrong_sent_rows,no_master_order_cd_rows
55,20260506123134091,1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,put_69facb052d350_20260506140053@lw-hana.co.jp,jx-orders/2026-05-06/1017_order_20260506125115.dat,2026-05-06 14:00:53,0,0,0,0,0,0
53,20260506123134091,1330,三菱食品株式会社,put_69facb0853900_20260506140056@lw-hana.co.jp,jx-orders/2026-05-06/1330_order_20260506125113.dat,2026-05-06 14:00:57,16,16,5,5,0,0
52,20260506122300091,1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,put_69facb0bee2fb_20260506140059@lw-hana.co.jp,jx-orders/2026-05-06/1017_order_20260506125110.dat,2026-05-06 14:01:00,0,0,0,0,0,0
67,20260506135524010,1202,国分中部㈱第二支社 福井支店,put_69facb0f32a62_20260506140103@lw-hana.co.jp,jx-orders/2026-05-06/1202_order_20260506140059.dat,2026-05-06 14:01:04,1,1,0,0,0,0
51,20260506122300091,1330,三菱食品株式会社,put_69facb12697d0_20260506140106@lw-hana.co.jp,jx-orders/2026-05-06/1330_order_20260506125109.dat,2026-05-06 14:01:07,0,0,0,0,0,0
50,20260506122300091,1106,カナカン(株)食品  福井営業所,put_69facb16099ad_20260506140110@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506125109.dat,2026-05-06 14:01:10,0,0,0,0,0,0
49,20260506122300091,1202,国分中部㈱第二支社 福井支店,put_69facb19616d4_20260506140113@lw-hana.co.jp,jx-orders/2026-05-06/1202_order_20260506125108.dat,2026-05-06 14:01:14,2,2,2,2,0,0
48,20260506123303003,1106,カナカン(株)食品  福井営業所,put_69facb1c73b81_20260506140116@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506125000.dat,2026-05-06 14:01:17,2,2,1,1,0,0
47,20260506123303003,1330,三菱食品株式会社,put_69facb1f8dedd_20260506140119@lw-hana.co.jp,jx-orders/2026-05-06/1330_order_20260506125000.dat,2026-05-06 14:01:20,4,4,2,2,0,0
46,20260506122218021,1106,カナカン(株)食品  福井営業所,put_69facb22b2ad1_20260506140122@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506123554.dat,2026-05-06 14:01:23,1,1,1,1,0,0
45,20260506123254009,1106,カナカン(株)食品  福井営業所,put_69facb2642e3e_20260506140126@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506123445.dat,2026-05-06 14:01:26,1,1,0,0,0,0
44,20260506122853003,1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,put_69facb2915030_20260506140129@lw-hana.co.jp,jx-orders/2026-05-06/1017_order_20260506123052.dat,2026-05-06 14:01:29,1,1,0,0,0,0
43,20260506122853003,1330,三菱食品株式会社,put_69facb2c2e521_20260506140132@lw-hana.co.jp,jx-orders/2026-05-06/1330_order_20260506123052.dat,2026-05-06 14:01:33,21,21,0,0,0,0
42,20260506122853003,1106,カナカン(株)食品  福井営業所,put_69facb2f23bbe_20260506140135@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506123052.dat,2026-05-06 14:01:36,38,38,0,0,0,0
41,20260506122853003,1202,国分中部㈱第二支社 福井支店,put_69facb322cda5_20260506140138@lw-hana.co.jp,jx-orders/2026-05-06/1202_order_20260506123051.dat,2026-05-06 14:01:39,15,15,1,0,1,0
40,20260506121545011,1202,国分中部㈱第二支社 福井支店,put_69facb3577d34_20260506140141@lw-hana.co.jp,jx-orders/2026-05-06/1202_order_20260506121946.dat,2026-05-06 14:01:42,1,1,0,0,0,0
39,20260506121353004,1202,国分中部㈱第二支社 福井支店,put_69facb3893e97_20260506140144@lw-hana.co.jp,jx-orders/2026-05-06/1202_order_20260506121515.dat,2026-05-06 14:01:45,0,0,0,0,0,0
38,20260506121353004,1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,put_69facb3bc51b5_20260506140147@lw-hana.co.jp,jx-orders/2026-05-06/1017_order_20260506121515.dat,2026-05-06 14:01:48,0,0,0,0,0,0
37,20260506121353004,1330,三菱食品株式会社,put_69facb3ec178c_20260506140150@lw-hana.co.jp,jx-orders/2026-05-06/1330_order_20260506121514.dat,2026-05-06 14:01:51,0,0,0,0,0,0
36,20260506121353004,1106,カナカン(株)食品  福井営業所,put_69facb4223332_20260506140154@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506121514.dat,2026-05-06 14:01:54,0,0,0,0,0,0
35,20260506120534091,1202,国分中部㈱第二支社 福井支店,put_69facb44e6dfb_20260506140156@lw-hana.co.jp,jx-orders/2026-05-06/1202_order_20260506121511.dat,2026-05-06 14:01:57,0,0,0,0,0,0
34,20260506120534091,1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,put_69facb47ea63b_20260506140159@lw-hana.co.jp,jx-orders/2026-05-06/1017_order_20260506121511.dat,2026-05-06 14:02:00,0,0,0,0,0,0
33,20260506120534091,1330,三菱食品株式会社,put_69facb4b0affd_20260506140203@lw-hana.co.jp,jx-orders/2026-05-06/1330_order_20260506121510.dat,2026-05-06 14:02:03,0,0,0,0,0,0
32,20260506120534091,1106,カナカン(株)食品  福井営業所,put_69facb4e3b1a1_20260506140206@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506121509.dat,2026-05-06 14:02:07,1,1,0,0,0,0
31,20260506120534091,1106,カナカン(株)食品  福井営業所,put_69facb51ccfc6_20260506140209@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506121256.dat,2026-05-06 14:02:10,4,4,1,1,0,0
30,20260506120426091,1202,国分中部㈱第二支社 福井支店,put_69facb5517bef_20260506140213@lw-hana.co.jp,jx-orders/2026-05-06/1202_order_20260506120711.dat,2026-05-06 14:02:13,0,0,0,0,0,0
29,20260506120426091,1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,put_69facb5874cd2_20260506140216@lw-hana.co.jp,jx-orders/2026-05-06/1017_order_20260506120711.dat,2026-05-06 14:02:17,0,0,0,0,0,0
28,20260506120426091,1330,三菱食品株式会社,put_69facb5b8682f_20260506140219@lw-hana.co.jp,jx-orders/2026-05-06/1330_order_20260506120710.dat,2026-05-06 14:02:20,0,0,0,0,0,0
27,20260506120426091,1106,カナカン(株)食品  福井営業所,put_69facb608f30f_20260506140224@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506120709.dat,2026-05-06 14:02:25,1,1,0,0,0,0
26,20260506120322004,1202,国分中部㈱第二支社 福井支店,put_69facb63e2073_20260506140227@lw-hana.co.jp,jx-orders/2026-05-06/1202_order_20260506120707.dat,2026-05-06 14:02:28,0,0,0,0,0,0
25,20260506120322004,1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,put_69facb670af42_20260506140231@lw-hana.co.jp,jx-orders/2026-05-06/1017_order_20260506120706.dat,2026-05-06 14:02:31,0,0,0,0,0,0
24,20260506120322004,1330,三菱食品株式会社,put_69facb6a53ae7_20260506140234@lw-hana.co.jp,jx-orders/2026-05-06/1330_order_20260506120706.dat,2026-05-06 14:02:35,0,0,0,0,0,0
23,20260506120322004,1106,カナカン(株)食品  福井営業所,put_69facb6d63ce8_20260506140237@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506120705.dat,2026-05-06 14:02:38,0,0,0,0,0,0
22,20260506120328021,1202,国分中部㈱第二支社 福井支店,put_69facb70612fa_20260506140240@lw-hana.co.jp,jx-orders/2026-05-06/1202_order_20260506120703.dat,2026-05-06 14:02:41,0,0,0,0,0,0
21,20260506120328021,1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,put_69facb73770cc_20260506140243@lw-hana.co.jp,jx-orders/2026-05-06/1017_order_20260506120702.dat,2026-05-06 14:02:44,0,0,0,0,0,0
20,20260506120328021,1106,カナカン(株)食品  福井営業所,put_69facb76a34d7_20260506140246@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506120702.dat,2026-05-06 14:02:47,0,0,0,0,0,0
19,20260506120328021,1330,三菱食品株式会社,put_69facb7a06588_20260506140250@lw-hana.co.jp,jx-orders/2026-05-06/1330_order_20260506120700.dat,2026-05-06 14:02:50,1,1,1,1,0,0
18,20260506120008011,1106,カナカン(株)食品  福井営業所,put_69facb7d2d5e2_20260506140253@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506120352.dat,2026-05-06 14:02:53,4,4,0,0,0,0
17,20260506115152004,1106,カナカン(株)食品  福井営業所,put_69facb8002ad4_20260506140256@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506115255.dat,2026-05-06 14:02:56,2,2,0,0,0,0
16,20260506112112091,1330,三菱食品株式会社,put_69facb82c9d46_20260506140258@lw-hana.co.jp,jx-orders/2026-05-06/1330_order_20260506114548.dat,2026-05-06 14:02:59,1,1,0,0,0,0
15,20260506114020004,1106,カナカン(株)食品  福井営業所,put_69facb8594b72_20260506140301@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506114048.dat,2026-05-06 14:03:02,1,1,0,0,0,0
13,20260506112326071,1202,国分中部㈱第二支社 福井支店,put_69facb8851f67_20260506140304@lw-hana.co.jp,jx-orders/2026-05-06/1202_order_20260506113427.dat,2026-05-06 14:03:05,1,1,1,1,0,0
14,20260506112326071,1330,三菱食品株式会社,put_69facb8b75e36_20260506140307@lw-hana.co.jp,jx-orders/2026-05-06/1330_order_20260506113427.dat,2026-05-06 14:03:08,2,2,1,1,0,0
70,20260506135959091,1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,put_69facb8e49b8a_20260506140310@lw-hana.co.jp,jx-orders/2026-05-06/1017_order_20260506140308.dat,2026-05-06 14:03:11,0,0,0,0,0,0
71,20260506135959091,1202,国分中部㈱第二支社 福井支店,put_69facb91be58e_20260506140313@lw-hana.co.jp,jx-orders/2026-05-06/1202_order_20260506140308.dat,2026-05-06 14:03:14,0,0,0,0,0,0
68,20260506135959091,1106,カナカン(株)食品  福井営業所,put_69facb94b76b7_20260506140316@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506140307.dat,2026-05-06 14:03:17,0,0,0,0,0,0
69,20260506135959091,1330,三菱食品株式会社,put_69facb97de019_20260506140319@lw-hana.co.jp,jx-orders/2026-05-06/1330_order_20260506140307.dat,2026-05-06 14:03:20,0,0,0,0,0,0
12,20260506112326071,1106,カナカン(株)食品  福井営業所,put_69facb9a9830d_20260506140322@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506113427.dat,2026-05-06 14:03:23,1,1,1,1,0,0
11,20260506111608009,1106,カナカン(株)食品  福井営業所,put_69facb9d80969_20260506140325@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506111642.dat,2026-05-06 14:03:26,1,1,1,1,0,0
9,20260506105835071,1202,国分中部㈱第二支社 福井支店,put_69facba050fc8_20260506140328@lw-hana.co.jp,jx-orders/2026-05-06/1202_order_20260506111031.dat,2026-05-06 14:03:29,4,4,1,1,0,0
10,20260506105835071,1330,三菱食品株式会社,put_69facba3113d0_20260506140331@lw-hana.co.jp,jx-orders/2026-05-06/1330_order_20260506111031.dat,2026-05-06 14:03:31,1,1,0,0,0,0
8,20260506105835071,1106,カナカン(株)食品  福井営業所,put_69facbb2af5a5_20260506140346@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506111030.dat,2026-05-06 14:03:47,7,7,3,3,0,0
7,20260506104651002,1106,カナカン(株)食品  福井営業所,put_69facbb58e4b2_20260506140349@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506104734.dat,2026-05-06 14:03:50,1,1,1,0,1,0
6,20260506102357091,1106,カナカン(株)食品  福井営業所,put_69facbb879671_20260506140352@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506104701.dat,2026-05-06 14:03:53,3,3,0,0,0,0
5,20260506102357091,1106,カナカン(株)食品  福井営業所,put_69facbbb49e2b_20260506140355@lw-hana.co.jp,jx-orders/2026-05-06/1106_order_20260506104501.dat,2026-05-06 14:03:56,2,2,1,1,0,0
4,20260506102357091,1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,put_69facbbe28458_20260506140358@lw-hana.co.jp,jx-orders/2026-05-06/1017_order_20260506104501.dat,2026-05-06 14:03:58,4,4,3,3,0,0
3,20260506091053091,1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,put_69facbc0a9684_20260506140400@lw-hana.co.jp,jx-orders/2026-05-06/1017_order_20260506093406.dat,2026-05-06 14:04:01,1,1,1,1,0,0
1,20260506091053091,1202,国分中部㈱第二支社 福井支店,put_69facbc34b7d3_20260506140403@lw-hana.co.jp,jx-orders/2026-05-06/1202_order_20260506091843.dat,2026-05-06 14:04:04,1,1,1,1,0,0
2,20260506091053091,1330,三菱食品株式会社,put_69facbc603355_20260506140406@lw-hana.co.jp,jx-orders/2026-05-06/1330_order_20260506091844.dat,2026-05-06 14:04:06,1,1,1,1,0,0
