doc_id,contractor_id,warehouse_id,batch_code,file_path,created_at,transmitted_at,db_file_size,actual_size,size_match,db_record_count,actual_records,record_count_match,db_order_count,actual_d_records,order_count_match,db_candidate_count,db_case_rows,db_piece_rows,db_case_qty_sum,file_case_qty_sum,case_qty_sum_match,db_piece_qty_sum,file_piece_qty_sum,piece_qty_sum_match,invalid_record_length,read_error,issues
15,1106,4,20260506114020004,jx-orders/2026-05-06/1106_order_20260506114048.dat,"2026-05-06 11:40:49","2026-05-06 14:03:02",640,640,1,5,5,1,1,1,1,1,1,0,3,3,1,0,0,1,0,,
16,1330,91,20260506112112091,jx-orders/2026-05-06/1330_order_20260506114548.dat,"2026-05-06 11:45:49","2026-05-06 14:02:59",640,640,1,5,5,1,1,1,1,1,0,1,0,0,1,15,15,1,0,,
17,1106,4,20260506115152004,jx-orders/2026-05-06/1106_order_20260506115255.dat,"2026-05-06 11:52:56","2026-05-06 14:02:56",768,768,1,6,6,1,2,2,1,2,0,2,0,0,1,10,10,1,0,,
18,1106,11,20260506120008011,jx-orders/2026-05-06/1106_order_20260506120352.dat,"2026-05-06 12:03:53","2026-05-06 14:02:53",1024,1024,1,8,8,1,4,4,1,4,2,2,2,2,1,20,20,1,0,,
19,1330,21,20260506120328021,jx-orders/2026-05-06/1330_order_20260506120700.dat,"2026-05-06 12:07:01","2026-05-06 14:02:50",640,640,1,5,5,1,1,1,1,1,1,0,2,2,1,0,0,1,0,,
20,1106,,20260506120328021,jx-orders/2026-05-06/1106_order_20260506120702.dat,"2026-05-06 12:07:02","2026-05-06 14:02:47",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
21,1017,,20260506120328021,jx-orders/2026-05-06/1017_order_20260506120702.dat,"2026-05-06 12:07:02","2026-05-06 14:02:44",256,256,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
22,1202,,20260506120328021,jx-orders/2026-05-06/1202_order_20260506120703.dat,"2026-05-06 12:07:03","2026-05-06 14:02:41",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
23,1106,,20260506120322004,jx-orders/2026-05-06/1106_order_20260506120705.dat,"2026-05-06 12:07:05","2026-05-06 14:02:38",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
24,1330,,20260506120322004,jx-orders/2026-05-06/1330_order_20260506120706.dat,"2026-05-06 12:07:06","2026-05-06 14:02:35",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
25,1017,,20260506120322004,jx-orders/2026-05-06/1017_order_20260506120706.dat,"2026-05-06 12:07:06","2026-05-06 14:02:31",256,256,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
26,1202,,20260506120322004,jx-orders/2026-05-06/1202_order_20260506120707.dat,"2026-05-06 12:07:07","2026-05-06 14:02:28",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
27,1106,91,20260506120426091,jx-orders/2026-05-06/1106_order_20260506120709.dat,"2026-05-06 12:07:10","2026-05-06 14:02:25",640,640,1,5,5,1,1,1,1,1,1,0,4,4,1,0,0,1,0,,
28,1330,,20260506120426091,jx-orders/2026-05-06/1330_order_20260506120710.dat,"2026-05-06 12:07:10","2026-05-06 14:02:20",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
29,1017,,20260506120426091,jx-orders/2026-05-06/1017_order_20260506120711.dat,"2026-05-06 12:07:11","2026-05-06 14:02:17",256,256,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
30,1202,,20260506120426091,jx-orders/2026-05-06/1202_order_20260506120711.dat,"2026-05-06 12:07:11","2026-05-06 14:02:13",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
31,1106,91,20260506120534091,jx-orders/2026-05-06/1106_order_20260506121256.dat,"2026-05-06 12:12:57","2026-05-06 14:02:10",1024,1024,1,8,8,1,4,4,1,4,4,0,18,18,1,0,0,1,0,,
32,1106,91,20260506120534091,jx-orders/2026-05-06/1106_order_20260506121509.dat,"2026-05-06 12:15:10","2026-05-06 14:02:07",640,640,1,5,5,1,1,1,1,1,1,0,8,8,1,0,0,1,0,,
33,1330,,20260506120534091,jx-orders/2026-05-06/1330_order_20260506121510.dat,"2026-05-06 12:15:11","2026-05-06 14:02:03",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
34,1017,,20260506120534091,jx-orders/2026-05-06/1017_order_20260506121511.dat,"2026-05-06 12:15:11","2026-05-06 14:02:00",256,256,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
35,1202,,20260506120534091,jx-orders/2026-05-06/1202_order_20260506121511.dat,"2026-05-06 12:15:11","2026-05-06 14:01:57",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
36,1106,,20260506121353004,jx-orders/2026-05-06/1106_order_20260506121514.dat,"2026-05-06 12:15:14","2026-05-06 14:01:54",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
37,1330,,20260506121353004,jx-orders/2026-05-06/1330_order_20260506121514.dat,"2026-05-06 12:15:15","2026-05-06 14:01:51",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
38,1017,,20260506121353004,jx-orders/2026-05-06/1017_order_20260506121515.dat,"2026-05-06 12:15:15","2026-05-06 14:01:48",256,256,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
39,1202,,20260506121353004,jx-orders/2026-05-06/1202_order_20260506121515.dat,"2026-05-06 12:15:15","2026-05-06 14:01:45",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
40,1202,11,20260506121545011,jx-orders/2026-05-06/1202_order_20260506121946.dat,"2026-05-06 12:19:47","2026-05-06 14:01:42",640,640,1,5,5,1,1,1,1,1,1,0,1,1,1,0,0,1,0,,
41,1202,3,20260506122853003,jx-orders/2026-05-06/1202_order_20260506123051.dat,"2026-05-06 12:30:53","2026-05-06 14:01:39",2688,2688,1,21,21,1,15,15,1,15,15,0,19,19,1,0,0,1,0,,
42,1106,3,20260506122853003,jx-orders/2026-05-06/1106_order_20260506123052.dat,"2026-05-06 12:30:54","2026-05-06 14:01:36",6400,6400,1,50,50,1,38,38,1,38,38,0,72,72,1,0,0,1,0,,
43,1330,3,20260506122853003,jx-orders/2026-05-06/1330_order_20260506123052.dat,"2026-05-06 12:30:55","2026-05-06 14:01:33",3584,3584,1,28,28,1,21,21,1,21,21,0,32,32,1,0,0,1,0,,
44,1017,3,20260506122853003,jx-orders/2026-05-06/1017_order_20260506123052.dat,"2026-05-06 12:30:55","2026-05-06 14:01:29",640,640,1,5,5,1,1,1,1,1,1,0,1,1,1,0,0,1,0,,
45,1106,9,20260506123254009,jx-orders/2026-05-06/1106_order_20260506123445.dat,"2026-05-06 12:34:46","2026-05-06 14:01:26",640,640,1,5,5,1,1,1,1,1,1,0,1,1,1,0,0,1,0,,
46,1106,21,20260506122218021,jx-orders/2026-05-06/1106_order_20260506123554.dat,"2026-05-06 12:35:55","2026-05-06 14:01:23",640,640,1,5,5,1,1,1,1,1,1,0,1,1,1,0,0,1,0,,
47,1330,3,20260506123303003,jx-orders/2026-05-06/1330_order_20260506125000.dat,"2026-05-06 12:50:01","2026-05-06 14:01:20",1024,1024,1,8,8,1,4,4,1,4,4,0,4,4,1,0,0,1,0,,
48,1106,3,20260506123303003,jx-orders/2026-05-06/1106_order_20260506125000.dat,"2026-05-06 12:50:02","2026-05-06 14:01:17",768,768,1,6,6,1,2,2,1,2,2,0,6,6,1,0,0,1,0,,
49,1202,91,20260506122300091,jx-orders/2026-05-06/1202_order_20260506125108.dat,"2026-05-06 12:51:09","2026-05-06 14:01:14",768,768,1,6,6,1,2,2,1,2,2,0,3,3,1,0,0,1,0,,
50,1106,,20260506122300091,jx-orders/2026-05-06/1106_order_20260506125109.dat,"2026-05-06 12:51:09","2026-05-06 14:01:10",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
51,1330,,20260506122300091,jx-orders/2026-05-06/1330_order_20260506125109.dat,"2026-05-06 12:51:10","2026-05-06 14:01:07",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
52,1017,,20260506122300091,jx-orders/2026-05-06/1017_order_20260506125110.dat,"2026-05-06 12:51:10","2026-05-06 14:01:00",256,256,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
53,1330,91,20260506123134091,jx-orders/2026-05-06/1330_order_20260506125113.dat,"2026-05-06 12:51:14","2026-05-06 14:00:57",2816,2816,1,22,22,1,16,16,1,16,14,2,87,87,1,16,16,1,0,,
54,1106,,20260506123134091,jx-orders/2026-05-06/1106_order_20260506125114.dat,"2026-05-06 12:51:15","2026-05-06 13:57:37",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
55,1017,,20260506123134091,jx-orders/2026-05-06/1017_order_20260506125115.dat,"2026-05-06 12:51:15","2026-05-06 14:00:53",256,256,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
56,1202,,20260506123134091,jx-orders/2026-05-06/1202_order_20260506125115.dat,"2026-05-06 12:51:16","2026-05-06 14:00:50",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
57,1106,22,20260506124508022,jx-orders/2026-05-06/1106_order_20260506125118.dat,"2026-05-06 12:51:19","2026-05-06 14:00:47",768,768,1,6,6,1,2,2,1,2,2,0,18,18,1,0,0,1,0,,
58,1330,,20260506124508022,jx-orders/2026-05-06/1330_order_20260506125120.dat,"2026-05-06 12:51:20","2026-05-06 14:00:44",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
59,1017,,20260506124508022,jx-orders/2026-05-06/1017_order_20260506125120.dat,"2026-05-06 12:51:20","2026-05-06 14:00:40",256,256,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
60,1202,,20260506124508022,jx-orders/2026-05-06/1202_order_20260506125121.dat,"2026-05-06 12:51:21","2026-05-06 14:00:37",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
61,1106,4,20260506122639004,jx-orders/2026-05-06/1106_order_20260506125123.dat,"2026-05-06 12:51:24","2026-05-06 14:00:34",1024,1024,1,8,8,1,4,4,1,4,1,3,1,1,1,5,5,1,0,,
62,1330,,20260506122639004,jx-orders/2026-05-06/1330_order_20260506125125.dat,"2026-05-06 12:51:25","2026-05-06 14:00:30",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
63,1017,,20260506122639004,jx-orders/2026-05-06/1017_order_20260506125125.dat,"2026-05-06 12:51:25","2026-05-06 14:00:27",256,256,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
64,1202,,20260506122639004,jx-orders/2026-05-06/1202_order_20260506125125.dat,"2026-05-06 12:51:26","2026-05-06 14:00:24",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
65,1106,22,20260506125717022,jx-orders/2026-05-06/1106_order_20260506132228.dat,"2026-05-06 13:22:29","2026-05-06 14:00:20",1024,1024,1,8,8,1,4,4,1,4,1,3,2,2,1,8,8,1,0,,
66,1106,22,20260506134535022,jx-orders/2026-05-06/1106_order_20260506134710.dat,"2026-05-06 13:47:11","2026-05-06 14:00:16",640,640,1,5,5,1,1,1,1,1,0,1,0,0,1,1,1,1,0,,
67,1202,10,20260506135524010,jx-orders/2026-05-06/1202_order_20260506140059.dat,"2026-05-06 14:01:00","2026-05-06 14:01:04",640,640,1,5,5,1,1,1,1,1,0,1,0,0,1,4,4,1,0,,
68,1106,,20260506135959091,jx-orders/2026-05-06/1106_order_20260506140307.dat,"2026-05-06 14:03:07","2026-05-06 14:03:17",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
69,1330,,20260506135959091,jx-orders/2026-05-06/1330_order_20260506140307.dat,"2026-05-06 14:03:07","2026-05-06 14:03:20",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
70,1017,,20260506135959091,jx-orders/2026-05-06/1017_order_20260506140308.dat,"2026-05-06 14:03:08","2026-05-06 14:03:11",256,256,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
71,1202,,20260506135959091,jx-orders/2026-05-06/1202_order_20260506140308.dat,"2026-05-06 14:03:08","2026-05-06 14:03:14",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
72,1202,11,20260506130912011,jx-orders/2026-05-06/1202_order_20260506140411.dat,"2026-05-06 14:04:12","2026-05-06 15:56:01",640,640,1,5,5,1,1,1,1,1,1,0,1,1,1,0,0,1,0,,
73,1106,,20260506130912011,jx-orders/2026-05-06/1106_order_20260506140413.dat,"2026-05-06 14:04:13","2026-05-06 15:56:06",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
74,1330,,20260506130912011,jx-orders/2026-05-06/1330_order_20260506140413.dat,"2026-05-06 14:04:14","2026-05-06 15:55:55",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
75,1017,,20260506130912011,jx-orders/2026-05-06/1017_order_20260506140414.dat,"2026-05-06 14:04:14","2026-05-06 15:56:12",256,256,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
76,1202,21,20260506130941021,jx-orders/2026-05-06/1202_order_20260506140417.dat,"2026-05-06 14:04:18","2026-05-06 15:55:50",640,640,1,5,5,1,1,1,1,1,1,0,1,1,1,0,0,1,0,,
77,1106,,20260506130941021,jx-orders/2026-05-06/1106_order_20260506140418.dat,"2026-05-06 14:04:19","2026-05-06 15:56:17",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
78,1330,,20260506130941021,jx-orders/2026-05-06/1330_order_20260506140419.dat,"2026-05-06 14:04:19","2026-05-06 15:55:45",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
79,1017,,20260506130941021,jx-orders/2026-05-06/1017_order_20260506140419.dat,"2026-05-06 14:04:20","2026-05-06 15:56:22",256,256,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
80,1106,4,20260506130927004,jx-orders/2026-05-06/1106_order_20260506140426.dat,"2026-05-06 14:04:27","2026-05-06 15:55:40",1024,1024,1,8,8,1,3,3,1,3,2,1,2,2,1,2,2,1,0,,
81,1330,,20260506130927004,jx-orders/2026-05-06/1330_order_20260506140427.dat,"2026-05-06 14:04:27","2026-05-06 15:56:27",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
82,1017,,20260506130927004,jx-orders/2026-05-06/1017_order_20260506140428.dat,"2026-05-06 14:04:28","2026-05-06 15:55:35",256,256,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
83,1202,,20260506130927004,jx-orders/2026-05-06/1202_order_20260506140428.dat,"2026-05-06 14:04:28","2026-05-06 15:56:32",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
84,1106,,20260506135730009,jx-orders/2026-05-06/1106_order_20260506140431.dat,"2026-05-06 14:04:31","2026-05-06 15:55:30",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
85,1330,,20260506135730009,jx-orders/2026-05-06/1330_order_20260506140432.dat,"2026-05-06 14:04:32","2026-05-06 15:56:37",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
86,1017,,20260506135730009,jx-orders/2026-05-06/1017_order_20260506140432.dat,"2026-05-06 14:04:32","2026-05-06 15:55:24",256,256,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
87,1202,,20260506135730009,jx-orders/2026-05-06/1202_order_20260506140433.dat,"2026-05-06 14:04:33","2026-05-06 15:56:42",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
88,1106,,20260506142016004,jx-orders/2026-05-06/1106_order_20260506142744.dat,"2026-05-06 14:27:44","2026-05-06 15:55:19",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
89,1330,,20260506142016004,jx-orders/2026-05-06/1330_order_20260506142745.dat,"2026-05-06 14:27:45","2026-05-06 15:55:13",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
90,1017,,20260506142016004,jx-orders/2026-05-06/1017_order_20260506142745.dat,"2026-05-06 14:27:45","2026-05-06 15:56:46",256,256,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
91,1202,,20260506142016004,jx-orders/2026-05-06/1202_order_20260506142745.dat,"2026-05-06 14:27:46","2026-05-06 15:56:49",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
92,1106,,20260506144008004,jx-orders/2026-05-06/1106_order_20260506144515.dat,"2026-05-06 14:45:16","2026-05-06 15:55:08",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
93,1330,,20260506144008004,jx-orders/2026-05-06/1330_order_20260506144516.dat,"2026-05-06 14:45:16","2026-05-06 15:56:24",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
94,1017,,20260506144008004,jx-orders/2026-05-06/1017_order_20260506144516.dat,"2026-05-06 14:45:17","2026-05-06 15:54:59",256,256,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
95,1202,,20260506144008004,jx-orders/2026-05-06/1202_order_20260506144517.dat,"2026-05-06 14:45:17","2026-05-06 15:56:19",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
96,1202,4,20260506144738004,jx-orders/2026-05-06/1202_order_20260506144758.dat,"2026-05-06 14:47:59","2026-05-06 15:54:54",640,640,1,5,5,1,1,1,1,1,1,0,1,1,1,0,0,1,0,,
97,1106,,20260506144738004,jx-orders/2026-05-06/1106_order_20260506144759.dat,"2026-05-06 14:48:00","2026-05-06 15:56:15",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
98,1330,,20260506144738004,jx-orders/2026-05-06/1330_order_20260506144800.dat,"2026-05-06 14:48:00","2026-05-06 15:54:49",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
99,1017,,20260506144738004,jx-orders/2026-05-06/1017_order_20260506144800.dat,"2026-05-06 14:48:01","2026-05-06 15:56:09",256,256,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
100,1106,,20260506145201011,jx-orders/2026-05-06/1106_order_20260506150402.dat,"2026-05-06 15:04:02","2026-05-06 15:54:43",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
101,1330,,20260506145201011,jx-orders/2026-05-06/1330_order_20260506150403.dat,"2026-05-06 15:04:03","2026-05-06 15:56:03",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
102,1017,,20260506145201011,jx-orders/2026-05-06/1017_order_20260506150403.dat,"2026-05-06 15:04:03","2026-05-06 15:54:37",256,256,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
103,1202,,20260506145201011,jx-orders/2026-05-06/1202_order_20260506150404.dat,"2026-05-06 15:04:04","2026-05-06 15:55:58",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
104,1202,1,20260506151241001,jx-orders/2026-05-06/1202_order_20260506152613.dat,"2026-05-06 15:26:15","2026-05-06 15:55:52",2816,2816,1,22,22,1,16,16,1,16,16,0,24,24,1,0,0,1,0,,
105,1106,1,20260506151241001,jx-orders/2026-05-06/1106_order_20260506152613.dat,"2026-05-06 15:26:15","2026-05-06 15:54:31",7552,7552,1,59,59,1,46,46,1,46,46,0,59,59,1,0,0,1,0,,
106,1330,1,20260506151241001,jx-orders/2026-05-06/1330_order_20260506152613.dat,"2026-05-06 15:26:16","2026-05-06 15:54:25",2944,2944,1,23,23,1,17,17,1,17,17,0,24,24,1,0,0,1,0,,
107,1017,1,20260506151241001,jx-orders/2026-05-06/1017_order_20260506152614.dat,"2026-05-06 15:26:17","2026-05-06 15:55:48",768,768,1,6,6,1,2,2,1,2,2,0,2,2,1,0,0,1,0,,
108,1106,,20260506152031002,jx-orders/2026-05-06/1106_order_20260506152619.dat,"2026-05-06 15:26:19","2026-05-06 15:54:20",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
109,1330,,20260506152031002,jx-orders/2026-05-06/1330_order_20260506152619.dat,"2026-05-06 15:26:20","2026-05-06 15:55:43",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
110,1017,,20260506152031002,jx-orders/2026-05-06/1017_order_20260506152620.dat,"2026-05-06 15:26:20","2026-05-06 15:54:15",256,256,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
111,1202,,20260506152031002,jx-orders/2026-05-06/1202_order_20260506152620.dat,"2026-05-06 15:26:21","2026-05-06 15:55:38",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
112,1202,3,20260506152343003,jx-orders/2026-05-06/1202_order_20260506152628.dat,"2026-05-06 15:26:29","2026-05-06 15:54:10",1664,1664,1,13,13,1,8,8,1,8,8,0,11,11,1,0,0,1,0,,
113,1330,3,20260506152343003,jx-orders/2026-05-06/1330_order_20260506152628.dat,"2026-05-06 15:26:30","2026-05-06 15:55:33",2688,2688,1,21,21,1,15,15,1,15,15,0,25,25,1,0,0,1,0,,
114,1106,3,20260506152343003,jx-orders/2026-05-06/1106_order_20260506152628.dat,"2026-05-06 15:26:30","2026-05-06 15:54:03",4224,4224,1,33,33,1,24,24,1,24,24,0,55,55,1,0,0,1,0,,
115,1017,3,20260506152343003,jx-orders/2026-05-06/1017_order_20260506152628.dat,"2026-05-06 15:26:31","2026-05-06 15:55:27",640,640,1,5,5,1,1,1,1,1,1,0,1,1,1,0,0,1,0,,
116,1106,,20260506152334004,jx-orders/2026-05-06/1106_order_20260506152633.dat,"2026-05-06 15:26:33","2026-05-06 15:53:57",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
117,1330,,20260506152334004,jx-orders/2026-05-06/1330_order_20260506152633.dat,"2026-05-06 15:26:34","2026-05-06 15:53:50",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
118,1017,,20260506152334004,jx-orders/2026-05-06/1017_order_20260506152634.dat,"2026-05-06 15:26:34","2026-05-06 15:55:22",256,256,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
119,1202,,20260506152334004,jx-orders/2026-05-06/1202_order_20260506152634.dat,"2026-05-06 15:26:35","2026-05-06 15:55:17",384,384,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,,
120,1106,7,20260506152441007,jx-orders/2026-05-06/1106_order_20260506152644.dat,"2026-05-06 15:26:45","2026-05-06 15:53:44",6272,6272,1,49,49,1,37,37,1,37,37,0,46,46,1,0,0,1,0,,
121,1202,7,20260506152441007,jx-orders/2026-05-06/1202_order_20260506152644.dat,"2026-05-06 15:26:46","2026-05-06 15:55:11",2688,2688,1,21,21,1,15,15,1,15,15,0,24,24,1,0,0,1,0,,
122,1330,7,20260506152441007,jx-orders/2026-05-06/1330_order_20260506152644.dat,"2026-05-06 15:26:47","2026-05-06 15:53:38",3328,3328,1,26,26,1,19,19,1,19,19,0,35,35,1,0,0,1,0,,
123,1017,7,20260506152441007,jx-orders/2026-05-06/1017_order_20260506152644.dat,"2026-05-06 15:26:47","2026-05-06 15:55:05",640,640,1,5,5,1,1,1,1,1,1,0,1,1,1,0,0,1,0,,
124,1106,8,20260506152455008,jx-orders/2026-05-06/1106_order_20260506152654.dat,"2026-05-06 15:26:56","2026-05-06 15:53:31",4608,4608,1,36,36,1,27,27,1,27,27,0,50,50,1,0,0,1,0,,
125,1202,8,20260506152455008,jx-orders/2026-05-06/1202_order_20260506152654.dat,"2026-05-06 15:26:57","2026-05-06 15:54:57",1664,1664,1,13,13,1,8,8,1,8,8,0,13,13,1,0,0,1,0,,
126,1330,8,20260506152455008,jx-orders/2026-05-06/1330_order_20260506152655.dat,"2026-05-06 15:26:57","2026-05-06 15:54:52",1280,1280,1,10,10,1,6,6,1,6,6,0,8,8,1,0,0,1,0,,
