document_id,batch_code,contractor_code,contractor_name,message_id,detail_rows,corrected_rows,dat_path,csv_path,fax_pdf_path,ticket_pdf_path
13,20260506112326071,1202,"国分中部㈱第二支社 福井支店",put_69facb8851f67_20260506140304@lw-hana.co.jp,1,1,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_013_1202_20260506112326071.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_013_1202_20260506112326071.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_013_1202_20260506112326071_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_013_1202_20260506112326071_ticket.pdf
14,20260506112326071,1330,三菱食品株式会社,put_69facb8b75e36_20260506140307@lw-hana.co.jp,2,1,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_014_1330_20260506112326071.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_014_1330_20260506112326071.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_014_1330_20260506112326071_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_014_1330_20260506112326071_ticket.pdf
12,20260506112326071,1106,"カナカン(株)食品  福井営業所",put_69facb9a9830d_20260506140322@lw-hana.co.jp,1,1,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_012_1106_20260506112326071.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_012_1106_20260506112326071.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_012_1106_20260506112326071_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_012_1106_20260506112326071_ticket.pdf
11,20260506111608009,1106,"カナカン(株)食品  福井営業所",put_69facb9d80969_20260506140325@lw-hana.co.jp,1,1,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_011_1106_20260506111608009.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_011_1106_20260506111608009.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_011_1106_20260506111608009_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_011_1106_20260506111608009_ticket.pdf
9,20260506105835071,1202,"国分中部㈱第二支社 福井支店",put_69facba050fc8_20260506140328@lw-hana.co.jp,4,1,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_009_1202_20260506105835071.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_009_1202_20260506105835071.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_009_1202_20260506105835071_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_009_1202_20260506105835071_ticket.pdf
8,20260506105835071,1106,"カナカン(株)食品  福井営業所",put_69facbb2af5a5_20260506140346@lw-hana.co.jp,7,3,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_008_1106_20260506105835071.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_008_1106_20260506105835071.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_008_1106_20260506105835071_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_008_1106_20260506105835071_ticket.pdf
7,20260506104651002,1106,"カナカン(株)食品  福井営業所",put_69facbb58e4b2_20260506140349@lw-hana.co.jp,1,1,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_007_1106_20260506104651002.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_007_1106_20260506104651002.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_007_1106_20260506104651002_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_007_1106_20260506104651002_ticket.pdf
5,20260506102357091,1106,"カナカン(株)食品  福井営業所",put_69facbbb49e2b_20260506140355@lw-hana.co.jp,2,1,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_005_1106_20260506102357091.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_005_1106_20260506102357091.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_005_1106_20260506102357091_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_005_1106_20260506102357091_ticket.pdf
4,20260506102357091,1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,put_69facbbe28458_20260506140358@lw-hana.co.jp,4,3,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_004_1017_20260506102357091.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_004_1017_20260506102357091.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_004_1017_20260506102357091_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_004_1017_20260506102357091_ticket.pdf
3,20260506091053091,1017,北陸ｺｶ・ｺｰﾗﾎﾞﾄﾘﾝｸﾞ（株）,put_69facbc0a9684_20260506140400@lw-hana.co.jp,1,1,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_003_1017_20260506091053091.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_003_1017_20260506091053091.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_003_1017_20260506091053091_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_003_1017_20260506091053091_ticket.pdf
1,20260506091053091,1202,"国分中部㈱第二支社 福井支店",put_69facbc34b7d3_20260506140403@lw-hana.co.jp,1,1,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_001_1202_20260506091053091.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_001_1202_20260506091053091.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_001_1202_20260506091053091_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_001_1202_20260506091053091_ticket.pdf
2,20260506091053091,1330,三菱食品株式会社,put_69facbc603355_20260506140406@lw-hana.co.jp,1,1,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/dat/corrected_doc_002_1330_20260506091053091.dat,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/csv/corrected_doc_002_1330_20260506091053091.csv,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/fax/corrected_doc_002_1330_20260506091053091_fax.pdf,/Users/jungsinyu/Projects/sakemaru-wms/storage/reports/jx-order-code-audit/corrected_20260506/tickets/corrected_doc_002_1330_20260506091053091_ticket.pdf
