record_type,data_type,slip_number,shop_code,category_code,slip_type,order_date,delivery_date,route,contractor_code,shop_name,delivery_place,remarks,direct_shipping,supplier_code,file_name
B,01,10451034680,0010,210,01,250929,250930,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,91,1017,COCA_20250929140023.txt
B,01,10451034682,0010,211,01,250929,250930,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,91,1017,COCA_20250929140023.txt
B,01,10451034684,0010,214,01,250929,250930,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,91,1017,COCA_20250929140023.txt
B,01,10451034686,0010,215,01,250929,250930,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,91,1017,COCA_20250929140023.txt
B,01,11451026240,0011,210,01,250929,250930,,1017,ｴﾁｾﾞﾝ,ｴﾁｾﾞﾝ,,91,1017,COCA_20250929140023.txt
B,01,21451024793,0021,211,01,250929,250930,,1017,ｴﾓﾘ,ｴﾓﾘ,,91,1017,COCA_20250929140023.txt
B,01,22451019294,0022,214,01,250929,250930,,1017,ｵﾊﾞﾏ,ｵﾊﾞﾏ,,91,1017,COCA_20250929140023.txt
B,01,91451033186,0091,210,01,250929,250930,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,11,1017,COCA_20250929140023.txt
B,01,91451033247,0091,210,01,250929,251002,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,11,1017,COCA_20250929140023.txt
B,01,91451033249,0091,210,01,250929,251002,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,11,1017,COCA_20250929140023.txt
B,01,98451006324,0098,210,01,250929,250930,,1017,ｶﾅｻﾞﾜｷﾞｮｳﾑ,ｶﾅｻﾞﾜｷﾞｮｳﾑ,,21,1017,COCA_20250929140023.txt
B,01,02451022905,0002,210,01,250905,250906,,1017,ﾆﾉﾐﾔ,ﾆﾉﾐﾔ,,91,1017,COCA_20250905140023.txt
B,01,02451022907,0002,214,01,250905,250906,,1017,ﾆﾉﾐﾔ,ﾆﾉﾐﾔ,,91,1017,COCA_20250905140023.txt
B,01,03451023729,0003,210,01,250905,250906,,1017,ｻｶｲ,ｻｶｲ,,51,1017,COCA_20250905140023.txt
B,01,03451023734,0003,210,01,250905,250906,,1017,ｻｶｲ,ｻｶｲ,,91,1017,COCA_20250905140023.txt
B,01,03451023736,0003,211,01,250905,250906,,1017,ｻｶｲ,ｻｶｲ,,91,1017,COCA_20250905140023.txt
B,01,03451023738,0003,214,01,250905,250906,,1017,ｻｶｲ,ｻｶｲ,,91,1017,COCA_20250905140023.txt
B,01,04451025410,0004,211,01,250905,250906,,1017,ｻﾝﾄﾞｰﾑ,ｻﾝﾄﾞｰﾑ,,91,1017,COCA_20250905140023.txt
B,01,04451025412,0004,215,01,250905,250906,,1017,ｻﾝﾄﾞｰﾑ,ｻﾝﾄﾞｰﾑ,,91,1017,COCA_20250905140023.txt
B,01,07451018542,0007,211,01,250905,250906,,1017,ｺｳﾖｳ,ｺｳﾖｳ,,91,1017,COCA_20250905140023.txt
B,01,08451019623,0008,211,01,250905,250906,,1017,ﾌﾟﾗｻﾞ,ﾌﾟﾗｻﾞ,,91,1017,COCA_20250905140023.txt
B,01,10451031805,0010,210,01,250905,250906,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,11,1017,COCA_20250905140023.txt
B,01,10451031808,0010,211,01,250905,250906,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,91,1017,COCA_20250905140023.txt
B,01,10451031810,0010,214,01,250905,250906,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,91,1017,COCA_20250905140023.txt
B,01,11451024012,0011,210,01,250904,250906,,1017,ｴﾁｾﾞﾝ,ｴﾁｾﾞﾝ,,11,1017,COCA_20250905140023.txt
B,01,11451024014,0011,210,01,250904,250906,,1017,ｴﾁｾﾞﾝ,ｴﾁｾﾞﾝ,,11,1017,COCA_20250905140023.txt
B,01,11451024023,0011,210,01,250904,250906,,1017,ｴﾁｾﾞﾝ,ｴﾁｾﾞﾝ,,11,1017,COCA_20250905140023.txt
B,01,11451024035,0011,214,01,250905,250906,,1017,ｴﾁｾﾞﾝ,ｴﾁｾﾞﾝ,,91,1017,COCA_20250905140023.txt
B,01,22451017735,0022,210,01,250904,250906,,1017,ｵﾊﾞﾏ,ｵﾊﾞﾏ,,11,1017,COCA_20250905140023.txt
B,01,22451017757,0022,211,01,250905,250906,,1017,ｵﾊﾞﾏ,ｵﾊﾞﾏ,,91,1017,COCA_20250905140023.txt
B,01,22451017818,0022,210,01,250905,250906,,1017,ｵﾊﾞﾏ,ｵﾊﾞﾏ,,21,1017,COCA_20250905140023.txt
B,01,91451030347,0091,210,01,250905,250906,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,11,1017,COCA_20250905140023.txt
B,01,91451030353,0091,210,01,250905,250906,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,25,1017,COCA_20250905140023.txt
B,01,91451030355,0091,210,01,250905,250906,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,25,1017,COCA_20250905140023.txt
B,01,91451030356,0091,210,01,250905,250906,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,25,1017,COCA_20250905140023.txt
B,01,91451030357,0091,210,01,250905,250906,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,25,1017,COCA_20250905140023.txt
B,01,91451030403,0091,210,01,250905,250906,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,26,1017,COCA_20250905140023.txt
B,01,02451023182,0002,210,01,250908,250909,,1017,ﾆﾉﾐﾔ,ﾆﾉﾐﾔ,,91,1017,COCA_20250908140018.txt
B,01,02451023184,0002,214,01,250908,250909,,1017,ﾆﾉﾐﾔ,ﾆﾉﾐﾔ,,91,1017,COCA_20250908140018.txt
B,01,02451023186,0002,215,01,250908,250909,,1017,ﾆﾉﾐﾔ,ﾆﾉﾐﾔ,,91,1017,COCA_20250908140018.txt
B,01,03451024027,0003,210,01,250908,250909,,1017,ｻｶｲ,ｻｶｲ,,91,1017,COCA_20250908140018.txt
B,01,03451024029,0003,211,01,250908,250909,,1017,ｻｶｲ,ｻｶｲ,,91,1017,COCA_20250908140018.txt
B,01,03451024031,0003,215,01,250908,250909,,1017,ｻｶｲ,ｻｶｲ,,91,1017,COCA_20250908140018.txt
B,01,04451025651,0004,210,01,250908,250909,,1017,ｻﾝﾄﾞｰﾑ,ｻﾝﾄﾞｰﾑ,,64,1017,COCA_20250908140018.txt
B,01,04451025653,0004,210,01,250908,250909,,1017,ｻﾝﾄﾞｰﾑ,ｻﾝﾄﾞｰﾑ,,64,1017,COCA_20250908140018.txt
B,01,04451025689,0004,210,01,250908,250909,,1017,ｻﾝﾄﾞｰﾑ,ｻﾝﾄﾞｰﾑ,,91,1017,COCA_20250908140018.txt
B,01,04451025691,0004,214,01,250908,250909,,1017,ｻﾝﾄﾞｰﾑ,ｻﾝﾄﾞｰﾑ,,91,1017,COCA_20250908140018.txt
B,01,07451018734,0007,211,01,250908,250909,,1017,ｺｳﾖｳ,ｺｳﾖｳ,,91,1017,COCA_20250908140018.txt
B,01,07451018736,0007,212,01,250908,250909,,1017,ｺｳﾖｳ,ｺｳﾖｳ,,91,1017,COCA_20250908140018.txt
B,01,07451018738,0007,214,01,250908,250909,,1017,ｺｳﾖｳ,ｺｳﾖｳ,,91,1017,COCA_20250908140018.txt
B,01,08451019831,0008,210,01,250908,250909,,1017,ﾌﾟﾗｻﾞ,ﾌﾟﾗｻﾞ,,21,1017,COCA_20250908140018.txt
B,01,08451019842,0008,210,01,250908,250909,,1017,ﾌﾟﾗｻﾞ,ﾌﾟﾗｻﾞ,,91,1017,COCA_20250908140018.txt
B,01,09451015947,0009,211,01,250908,250909,,1017,ｳﾞｨｵ,ｳﾞｨｵ,,91,1017,COCA_20250908140018.txt
B,01,09451015949,0009,214,01,250908,250909,,1017,ｳﾞｨｵ,ｳﾞｨｵ,,91,1017,COCA_20250908140018.txt
B,01,10451032120,0010,210,01,250908,250909,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,91,1017,COCA_20250908140018.txt
B,01,10451032122,0010,211,01,250908,250909,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,91,1017,COCA_20250908140018.txt
B,01,10451032124,0010,213,01,250908,250909,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,91,1017,COCA_20250908140018.txt
B,01,10451032248,0010,210,01,250908,250909,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,31,1017,COCA_20250908140018.txt
B,01,11451024306,0011,210,01,250908,250909,,1017,ｴﾁｾﾞﾝ,ｴﾁｾﾞﾝ,,91,1017,COCA_20250908140018.txt
B,01,11451024308,0011,211,01,250908,250909,,1017,ｴﾁｾﾞﾝ,ｴﾁｾﾞﾝ,,91,1017,COCA_20250908140018.txt
B,01,11451024310,0011,213,01,250908,250909,,1017,ｴﾁｾﾞﾝ,ｴﾁｾﾞﾝ,,91,1017,COCA_20250908140018.txt
B,01,22451017896,0022,210,01,250908,250909,,1017,ｵﾊﾞﾏ,ｵﾊﾞﾏ,,21,1017,COCA_20250908140018.txt
B,01,22451017915,0022,211,01,250908,250909,,1017,ｵﾊﾞﾏ,ｵﾊﾞﾏ,,91,1017,COCA_20250908140018.txt
B,01,22451018001,0022,210,01,250908,250909,,1017,ｵﾊﾞﾏ,ｵﾊﾞﾏ,,11,1017,COCA_20250908140018.txt
B,01,22451018008,0022,210,01,250908,250909,,1017,ｵﾊﾞﾏ,ｵﾊﾞﾏ,,21,1017,COCA_20250908140018.txt
B,01,91451030536,0091,210,01,250908,250909,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,29,1017,COCA_20250908140018.txt
B,01,91451030538,0091,210,01,250908,250909,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,29,1017,COCA_20250908140018.txt
B,01,91451030539,0091,210,01,250908,250909,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,29,1017,COCA_20250908140018.txt
B,01,98451005491,0098,210,01,250908,250909,,1017,ｶﾅｻﾞﾜｷﾞｮｳﾑ,ｶﾅｻﾞﾜｷﾞｮｳﾑ,,21,1017,COCA_20250908140018.txt
B,01,01451022780,0001,211,01,250917,250918,,1017,ﾎﾝﾃﾝ,ﾎﾝﾃﾝ,,91,1017,COCA_20250917140022.txt
B,01,02451024067,0002,210,01,250917,250918,,1017,ﾆﾉﾐﾔ,ﾆﾉﾐﾔ,,91,1017,COCA_20250917140022.txt
B,01,02451024069,0002,211,01,250917,250918,,1017,ﾆﾉﾐﾔ,ﾆﾉﾐﾔ,,91,1017,COCA_20250917140022.txt
B,01,02451024071,0002,214,01,250917,250918,,1017,ﾆﾉﾐﾔ,ﾆﾉﾐﾔ,,91,1017,COCA_20250917140022.txt
B,01,03451024929,0003,210,01,250917,250918,,1017,ｻｶｲ,ｻｶｲ,,91,1017,COCA_20250917140022.txt
B,01,04451026521,0004,211,01,250917,250918,,1017,ｻﾝﾄﾞｰﾑ,ｻﾝﾄﾞｰﾑ,,91,1017,COCA_20250917140022.txt
B,01,07451019442,0007,210,01,250917,250918,,1017,ｺｳﾖｳ,ｺｳﾖｳ,,91,1017,COCA_20250917140022.txt
B,01,08451020543,0008,210,01,250917,250918,,1017,ﾌﾟﾗｻﾞ,ﾌﾟﾗｻﾞ,,91,1017,COCA_20250917140022.txt
B,01,09451016523,0009,212,01,250917,250918,,1017,ｳﾞｨｵ,ｳﾞｨｵ,,91,1017,COCA_20250917140022.txt
B,01,10451033314,0010,211,01,250917,250918,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,91,1017,COCA_20250917140022.txt
B,01,10451033316,0010,254,01,250917,250918,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,91,1017,COCA_20250917140022.txt
B,01,11451025146,0011,211,01,250917,250918,,1017,ｴﾁｾﾞﾝ,ｴﾁｾﾞﾝ,,91,1017,COCA_20250917140022.txt
B,01,11451025148,0011,214,01,250917,250918,,1017,ｴﾁｾﾞﾝ,ｴﾁｾﾞﾝ,,91,1017,COCA_20250917140022.txt
B,01,11451025236,0011,210,01,250917,250920,,1017,ｴﾁｾﾞﾝ,ｴﾁｾﾞﾝ,,11,1017,COCA_20250917140022.txt
B,01,21451023836,0021,215,01,250917,250918,,1017,ｴﾓﾘ,ｴﾓﾘ,,91,1017,COCA_20250917140022.txt
B,01,22451018524,0022,211,01,250917,250918,,1017,ｵﾊﾞﾏ,ｵﾊﾞﾏ,,91,1017,COCA_20250917140022.txt
B,01,91451031763,0091,210,01,250916,250918,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,61,1017,COCA_20250917140022.txt
B,01,91451031785,0091,210,01,250917,250918,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,28,1017,COCA_20250917140022.txt
B,01,91451031787,0091,210,01,250917,250918,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,28,1017,COCA_20250917140022.txt
B,01,91451031801,0091,210,01,250917,250918,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,28,1017,COCA_20250917140022.txt
B,01,02451024701,0002,214,01,250924,250925,,1017,ﾆﾉﾐﾔ,ﾆﾉﾐﾔ,,91,1017,COCA_20250924140024.txt
B,01,03451025483,0003,210,01,250924,250925,,1017,ｻｶｲ,ｻｶｲ,,91,1017,COCA_20250924140024.txt
B,01,03451025485,0003,214,01,250924,250925,,1017,ｻｶｲ,ｻｶｲ,,91,1017,COCA_20250924140024.txt
B,01,07451019869,0007,210,01,250923,250925,,1017,ｺｳﾖｳ,ｺｳﾖｳ,,31,1017,COCA_20250924140024.txt
B,01,07451019871,0007,210,01,250923,250925,,1017,ｺｳﾖｳ,ｺｳﾖｳ,,31,1017,COCA_20250924140024.txt
B,01,07451019881,0007,210,01,250924,250925,,1017,ｺｳﾖｳ,ｺｳﾖｳ,,91,1017,COCA_20250924140024.txt
B,01,07451019883,0007,215,01,250924,250925,,1017,ｺｳﾖｳ,ｺｳﾖｳ,,91,1017,COCA_20250924140024.txt
B,01,08451021103,0008,210,01,250924,250925,,1017,ﾌﾟﾗｻﾞ,ﾌﾟﾗｻﾞ,,91,1017,COCA_20250924140024.txt
B,01,09451016896,0009,211,01,250924,250925,,1017,ｳﾞｨｵ,ｳﾞｨｵ,,91,1017,COCA_20250924140024.txt
B,01,10451034068,0010,210,01,250923,250925,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,11,1017,COCA_20250924140024.txt
B,01,10451034117,0010,211,01,250924,250925,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,91,1017,COCA_20250924140024.txt
B,01,10451034119,0010,214,01,250924,250925,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,91,1017,COCA_20250924140024.txt
B,01,10451034121,0010,215,01,250924,250925,,1017,ﾂﾙｶﾞ,ﾂﾙｶﾞ,,91,1017,COCA_20250924140024.txt
B,01,11451025748,0011,210,01,250923,251002,,1017,ｴﾁｾﾞﾝ,ｴﾁｾﾞﾝ,,11,1017,COCA_20250924140024.txt
B,01,11451025762,0011,211,01,250924,250925,,1017,ｴﾁｾﾞﾝ,ｴﾁｾﾞﾝ,,91,1017,COCA_20250924140024.txt
B,01,11451025825,0011,210,01,250924,250925,,1017,ｴﾁｾﾞﾝ,ｴﾁｾﾞﾝ,,11,1017,COCA_20250924140024.txt
B,01,21451024372,0021,210,01,250924,250925,,1017,ｴﾓﾘ,ｴﾓﾘ,,91,1017,COCA_20250924140024.txt
B,01,22451018990,0022,211,01,250924,250925,,1017,ｵﾊﾞﾏ,ｵﾊﾞﾏ,,91,1017,COCA_20250924140024.txt
B,01,22451018992,0022,214,01,250924,250925,,1017,ｵﾊﾞﾏ,ｵﾊﾞﾏ,,91,1017,COCA_20250924140024.txt
B,01,91451032635,0091,210,01,250924,250925,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,11,1017,COCA_20250924140024.txt
B,01,91451032637,0091,210,01,250924,250925,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,11,1017,COCA_20250924140024.txt
B,01,91451032640,0091,210,01,250924,250925,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,25,1017,COCA_20250924140024.txt
B,01,91451032665,0091,210,01,250924,250925,,1017,ﾑｽﾋﾞﾉｸﾗ,ﾑｽﾋﾞﾉｸﾗ,,25,1017,COCA_20250924140024.txt
