店舗CD,倉庫名,仕入先CD,仕入先名,JX伝票番号,発注日,納品日,商品CD,商品名,JANコード,入数,発注ケース,発注バラ,入荷ケース,入荷バラ,マッチ
0011,越前店,1330,三菱食品株式会社,00000515883,2026-05-08,2026-05-09,132438,　ジョニーウォーカー　ブラックラベル１２年　７００ｍｌ,5000267024233,12,0,0,0,2,×入荷予定なし
0011,越前店,1330,三菱食品株式会社,00000515883,2026-05-08,2026-05-09,141004,　キリン　ハートランド５００ｍｌ,49575484,20,0,0,0,60,×倉庫/仕入先不一致
0011,越前店,1330,三菱食品株式会社,00000515883,2026-05-08,2026-05-09,142247,　キリン　一番搾り　黒生３５０ｍｌ,4901411079646,24,0,0,0,4,×倉庫/仕入先不一致
0011,越前店,1330,三菱食品株式会社,00000515884,2026-05-08,2026-05-09,143052,　ハイネケン３５０ｍｌ,4595315464037,24,0,0,0,48,×倉庫/仕入先不一致
0011,越前店,1330,三菱食品株式会社,00000515884,2026-05-08,2026-05-09,142751,　キリン　ＳＰＲＩＮＧ　ＶＡＬＬＥＹ　豊潤　４９６　３５０ｍｌ（新）,4901411142050,24,0,0,0,4,×倉庫/仕入先不一致
0011,越前店,1330,三菱食品株式会社,00000515884,2026-05-08,2026-05-09,143180,　キリンクラシックラガー５００ｍｌ,4901411004754,24,0,0,0,4,×倉庫/仕入先不一致
0011,越前店,1330,三菱食品株式会社,00000515884,2026-05-08,2026-05-09,151215,　メルシャン　おいしい酸化防止無添加　ふくよか赤　７２０ｍｌ,4973480326945,12,0,0,0,1,×倉庫/仕入先不一致
0011,越前店,1330,三菱食品株式会社,00000515884,2026-05-08,2026-05-09,151326,　メルシャン　おいしい酸化防止無添加ワイン　赤　７２０ｍｌ,4973480326938,12,0,0,0,1,×入荷予定なし
0011,越前店,1330,三菱食品株式会社,00000515884,2026-05-08,2026-05-09,152332,　フランジア　バックインボックス（白）３Ｌ,4973480320233,4,0,0,0,2,×倉庫/仕入先不一致
0011,越前店,1330,三菱食品株式会社,00000515885,2026-05-08,2026-05-09,154044,　メルシャン　ギュギュッと搾ったサングリア　オレンジ＆カシスＭＩＸ４００ｍｌ,4973480341191,24,0,0,0,1,×入荷予定なし
0011,越前店,1330,三菱食品株式会社,00000515885,2026-05-08,2026-05-09,157915,　ダンシングフレイム　シャルドネ　７５０ｍｌ,4962840962848,12,0,0,0,12,×倉庫/仕入先不一致
0011,越前店,1330,三菱食品株式会社,00000515885,2026-05-08,2026-05-09,,マイヤーズラム　オリジナルダーク７００ｍｌ　　　　　　　　　　　,0088004039325,12,0,0,0,1,×商品未登録
0011,越前店,1330,三菱食品株式会社,00000515885,2026-05-08,2026-05-09,162048,　スミノフウオッカ４０°　７５０ｍｌ,4901411031316,12,0,0,0,1,×入荷予定なし
0011,越前店,1330,三菱食品株式会社,00000515885,2026-05-08,2026-05-09,171318,　キリン　まっこい梅酒　パック　２Ｌ,4901411034966,6,0,0,0,1,×倉庫/仕入先不一致
0071,特販課,1330,三菱食品株式会社,00000515886,2026-05-08,2026-05-09,142751,　キリン　ＳＰＲＩＮＧ　ＶＡＬＬＥＹ　豊潤　４９６　３５０ｍｌ（新）,4901411142050,24,8,0,0,32,△2件
0071,特販課,1330,三菱食品株式会社,00000515886,2026-05-08,2026-05-09,143178,　キリンクラシックラガー３５０ｍｌ,4901411004716,24,0,96,0,32,△3件
0098,営業部石川（金沢）,1202,"国分中部㈱第二支社 福井支店",082804,2026-05-07,2026-05-09,117003,　宝合成清酒　平安絵巻パック１．８Ｌ,4904670099011,6,0,0,1,0,×入荷予定なし
0098,営業部石川（金沢）,1202,"国分中部㈱第二支社 福井支店",082805,2026-05-07,2026-05-09,117003,　宝合成清酒　平安絵巻パック１．８Ｌ,4904670099011,6,0,0,2,0,×入荷予定なし
0098,営業部石川（金沢）,1202,"国分中部㈱第二支社 福井支店",082827,2026-05-08,2026-05-09,141048,◎サッポロ　黒ラベル　大瓶６３３ｍｌ,4901880110666,20,0,0,2,0,×倉庫/仕入先不一致
0098,営業部石川（金沢）,1202,"国分中部㈱第二支社 福井支店",082827,2026-05-08,2026-05-09,141080,　サッポロ　ラガー　大瓶６３３ｍｌ,4901880110055,20,0,0,2,0,×倉庫/仕入先不一致
0098,営業部石川（金沢）,1202,"国分中部㈱第二支社 福井支店",082827,2026-05-08,2026-05-09,141077,　サッポロ　ラガー　中瓶５００ｍｌ,4901880110062,20,0,0,3,0,×倉庫/仕入先不一致
0098,営業部石川（金沢）,1202,"国分中部㈱第二支社 福井支店",082827,2026-05-08,2026-05-09,143128,　サッポロ生樽２０Ｌ,4901880807054,1,0,0,3,0,×倉庫/仕入先不一致
0098,営業部石川（金沢）,1202,"国分中部㈱第二支社 福井支店",082827,2026-05-08,2026-05-09,143123,　サッポロ生樽１０Ｌ,4901880806989,1,0,0,6,0,×倉庫/仕入先不一致
0098,営業部石川（金沢）,1202,"国分中部㈱第二支社 福井支店",082827,2026-05-08,2026-05-09,141039,　サッポロ　黒ラベル　小瓶３３４ｍｌ,4901880110741,30,0,0,2,0,×倉庫/仕入先不一致
0001,本店,1202,"国分中部㈱第二支社 福井支店",082747,2026-03-26,2026-05-09,181403,　サッポロ　飲みごたえ超無糖　シークヮーサー３５０ｍｌ,4901880217037,24,0,0,4,0,×入荷予定なし
0001,本店,1202,"国分中部㈱第二支社 福井支店",082747,2026-03-26,2026-05-09,181404,　サッポロ　飲みごたえ超無糖　シークヮーサー５００ｍｌ,4901880217044,24,0,0,1,0,×入荷予定なし
0001,本店,1202,"国分中部㈱第二支社 福井支店",082774,2026-04-10,2026-05-09,133025,　宝　キングブランデーＶ．Ｏ　蘭　エコペット２．７Ｌ,4904670303989,6,0,0,2,0,×入荷予定なし
0001,本店,1202,"国分中部㈱第二支社 福井支店",082774,2026-04-10,2026-05-09,181401,　タカラ　焼酎ハイボール　東京グリーンレモン５００ｍｌ,4904670495554,24,0,0,1,0,×入荷予定なし
0001,本店,1202,"国分中部㈱第二支社 福井支店",082774,2026-04-10,2026-05-09,181400,　タカラ　焼酎ハイボール　東京グリーンレモン３５０ｍｌ,4904670495523,24,0,0,3,0,×入荷予定なし
0001,本店,1202,"国分中部㈱第二支社 福井支店",082775,2026-04-28,2026-05-09,,Ｗ　エヴァンウィリアムス　ブラックラベル,096749004768,1,0,0,0,2,×商品未登録
0001,本店,1202,"国分中部㈱第二支社 福井支店",082776,2026-05-01,2026-05-09,185365,　サッポロ　飲みごたえ超無糖　グレフルサワー５００ｍｌ,4901880216764,24,0,0,1,0,×入荷予定なし
0002,二の宮店,1202,"国分中部㈱第二支社 福井支店",082748,2026-03-26,2026-05-09,181403,　サッポロ　飲みごたえ超無糖　シークヮーサー３５０ｍｌ,4901880217037,24,0,0,4,0,×入荷予定なし
0002,二の宮店,1202,"国分中部㈱第二支社 福井支店",082748,2026-03-26,2026-05-09,181404,　サッポロ　飲みごたえ超無糖　シークヮーサー５００ｍｌ,4901880217044,24,0,0,1,0,×入荷予定なし
0002,二の宮店,1202,"国分中部㈱第二支社 福井支店",082777,2026-04-10,2026-05-09,133025,　宝　キングブランデーＶ．Ｏ　蘭　エコペット２．７Ｌ,4904670303989,6,0,0,2,0,×入荷予定なし
0002,二の宮店,1202,"国分中部㈱第二支社 福井支店",082777,2026-04-10,2026-05-09,181401,　タカラ　焼酎ハイボール　東京グリーンレモン５００ｍｌ,4904670495554,24,0,0,1,0,×入荷予定なし
0002,二の宮店,1202,"国分中部㈱第二支社 福井支店",082777,2026-04-10,2026-05-09,181400,　タカラ　焼酎ハイボール　東京グリーンレモン３５０ｍｌ,4904670495523,24,0,0,4,0,×入荷予定なし
0002,二の宮店,1202,"国分中部㈱第二支社 福井支店",082778,2026-04-28,2026-05-09,181269,　サッポロ　サッポロサワー　氷彩１９８４　３５０ｍｌ,4901880213756,24,0,0,1,0,×倉庫/仕入先不一致
0002,二の宮店,1202,"国分中部㈱第二支社 福井支店",082778,2026-04-28,2026-05-09,185363,　サッポロ　飲みごたえ超無糖　レモンサワー５００ｍｌ,4901880216740,24,0,0,1,0,×倉庫/仕入先不一致
0002,二の宮店,1202,"国分中部㈱第二支社 福井支店",082807,2026-05-08,2026-05-09,173004,　宝　本みりん　醇良１Ｌ,4904670123747,12,0,0,1,0,×倉庫/仕入先不一致
0003,坂井店,1202,"国分中部㈱第二支社 福井支店",082749,2026-03-26,2026-05-09,181403,　サッポロ　飲みごたえ超無糖　シークヮーサー３５０ｍｌ,4901880217037,24,0,0,4,0,×入荷予定なし
0003,坂井店,1202,"国分中部㈱第二支社 福井支店",082749,2026-03-26,2026-05-09,181404,　サッポロ　飲みごたえ超無糖　シークヮーサー５００ｍｌ,4901880217044,24,0,0,1,0,×入荷予定なし
0003,坂井店,1202,"国分中部㈱第二支社 福井支店",082779,2026-04-10,2026-05-09,133025,　宝　キングブランデーＶ．Ｏ　蘭　エコペット２．７Ｌ,4904670303989,6,0,0,3,0,×入荷予定なし
0003,坂井店,1202,"国分中部㈱第二支社 福井支店",082779,2026-04-10,2026-05-09,181401,　タカラ　焼酎ハイボール　東京グリーンレモン５００ｍｌ,4904670495554,24,0,0,1,0,×入荷予定なし
0003,坂井店,1202,"国分中部㈱第二支社 福井支店",082779,2026-04-10,2026-05-09,181400,　タカラ　焼酎ハイボール　東京グリーンレモン３５０ｍｌ,4904670495523,24,0,0,3,0,×入荷予定なし
0003,坂井店,1202,"国分中部㈱第二支社 福井支店",082780,2026-05-01,2026-05-09,122974,　２５°ダバダ火振７２０ｍｌ（栗）,4944230100030,12,1,0,0,2,○
0003,坂井店,1202,"国分中部㈱第二支社 福井支店",082808,2026-05-08,2026-05-09,185545,　タカラ　焼酎ハイボール　キレの５°レモン３５０ｍｌ,4904670483872,24,0,0,5,0,×倉庫/仕入先不一致
0003,坂井店,1202,"国分中部㈱第二支社 福井支店",082809,2026-05-08,2026-05-09,184230,　タカラ　焼酎ハイボール　ドライ　５００ｍｌ,4904670464680,24,0,0,2,0,×倉庫/仕入先不一致
0003,坂井店,1202,"国分中部㈱第二支社 福井支店",082809,2026-05-08,2026-05-09,184251,　タカラ　焼酎ハイボール　レモン　５００ｍｌ,4904670463690,24,0,0,2,0,×倉庫/仕入先不一致
0003,坂井店,1202,"国分中部㈱第二支社 福井支店",082809,2026-05-08,2026-05-09,185546,　タカラ　焼酎ハイボール　キレの５°レモン５００ｍｌ,4904670483971,24,0,0,2,0,×入荷予定なし
0004,サンドーム前店,1202,"国分中部㈱第二支社 福井支店",20260506484,2026-05-06,2026-05-09,185363,　サッポロ　飲みごたえ超無糖　レモンサワー５００ｍｌ,4901880216740,24,1,0,0,0,○
0004,サンドーム前店,1202,"国分中部㈱第二支社 福井支店",20260507100,2026-05-07,2026-05-09,185363,　サッポロ　飲みごたえ超無糖　レモンサワー５００ｍｌ,4901880216740,24,1,0,0,0,○
0004,サンドーム前店,1202,"国分中部㈱第二支社 福井支店",20260507100,2026-05-07,2026-05-09,112115,　一本義　生貯蔵酒３００ｍｌ,4973092111557,20,2,0,1,0,△2件
0004,サンドーム前店,1202,"国分中部㈱第二支社 福井支店",20260507100,2026-05-07,2026-05-09,112203,　一本義　辛爽系（からさわけい）純米吟醸７２０ｍｌ,4973092111311,12,2,0,1,0,△2件
0004,サンドーム前店,1202,"国分中部㈱第二支社 福井支店",20260507100,2026-05-07,2026-05-09,112391,　百貴船金印１．８Ｌ,4517780000282,6,1,0,0,0,○
0004,サンドーム前店,1202,"国分中部㈱第二支社 福井支店",20260507100,2026-05-07,2026-05-09,114037,　松竹梅上撰パック３Ｌ,4904670243803,4,1,0,1,0,○
0004,サンドーム前店,1202,"国分中部㈱第二支社 福井支店",20260507100,2026-05-07,2026-05-09,114228,　菊正宗しぼりたてギンリッチ　パック１．８Ｌ,4971650205755,6,2,0,0,0,△2件
0004,サンドーム前店,1202,"国分中部㈱第二支社 福井支店",082750,2026-03-26,2026-05-09,181404,　サッポロ　飲みごたえ超無糖　シークヮーサー５００ｍｌ,4901880217044,24,0,0,1,0,×入荷予定なし
0004,サンドーム前店,1202,"国分中部㈱第二支社 福井支店",082750,2026-03-26,2026-05-09,181403,　サッポロ　飲みごたえ超無糖　シークヮーサー３５０ｍｌ,4901880217037,24,0,0,4,0,×入荷予定なし
0004,サンドーム前店,1202,"国分中部㈱第二支社 福井支店",082781,2026-04-10,2026-05-09,133025,　宝　キングブランデーＶ．Ｏ　蘭　エコペット２．７Ｌ,4904670303989,6,0,0,3,0,×入荷予定なし
0004,サンドーム前店,1202,"国分中部㈱第二支社 福井支店",082781,2026-04-10,2026-05-09,181401,　タカラ　焼酎ハイボール　東京グリーンレモン５００ｍｌ,4904670495554,24,0,0,1,0,×入荷予定なし
0004,サンドーム前店,1202,"国分中部㈱第二支社 福井支店",082781,2026-04-10,2026-05-09,181400,　タカラ　焼酎ハイボール　東京グリーンレモン３５０ｍｌ,4904670495523,24,0,0,3,0,×入荷予定なし
0004,サンドーム前店,1202,"国分中部㈱第二支社 福井支店",082783,2026-05-01,2026-05-09,112930,　鳴り瓢金印１．８Ｌ,4518235001014,6,0,0,0,3,×入荷予定なし
0004,サンドーム前店,1202,"国分中部㈱第二支社 福井支店",082810,2026-05-08,2026-05-09,185215,　タカラ　焼酎ハイボール　キレの５°ドライ３５０ｍｌ,4904670493079,24,0,0,2,0,×入荷予定なし
0004,サンドーム前店,1202,"国分中部㈱第二支社 福井支店",082810,2026-05-08,2026-05-09,185548,　タカラ　焼酎ハイボール　キレの５°サイダー割り５００ｍｌ,4904670484428,24,0,0,1,0,×入荷予定なし
0004,サンドーム前店,1202,"国分中部㈱第二支社 福井支店",082811,2026-05-08,2026-05-09,143075,◎サッポロ　黒ラベル５００ｍｌ,4901880851453,24,0,48,2,0,○
0007,光陽店,1202,"国分中部㈱第二支社 福井支店",082751,2026-03-26,2026-05-09,181403,　サッポロ　飲みごたえ超無糖　シークヮーサー３５０ｍｌ,4901880217037,24,0,0,3,0,×入荷予定なし
0007,光陽店,1202,"国分中部㈱第二支社 福井支店",082751,2026-03-26,2026-05-09,181404,　サッポロ　飲みごたえ超無糖　シークヮーサー５００ｍｌ,4901880217044,24,0,0,1,0,×入荷予定なし
0007,光陽店,1202,"国分中部㈱第二支社 福井支店",082784,2026-04-10,2026-05-09,181401,　タカラ　焼酎ハイボール　東京グリーンレモン５００ｍｌ,4904670495554,24,0,0,1,0,×入荷予定なし
0007,光陽店,1202,"国分中部㈱第二支社 福井支店",082784,2026-04-10,2026-05-09,181400,　タカラ　焼酎ハイボール　東京グリーンレモン３５０ｍｌ,4904670495523,24,0,0,2,0,×入荷予定なし
0007,光陽店,1202,"国分中部㈱第二支社 福井支店",082784,2026-04-10,2026-05-09,133025,　宝　キングブランデーＶ．Ｏ　蘭　エコペット２．７Ｌ,4904670303989,6,0,0,1,0,×入荷予定なし
0008,プラザ店,1202,"国分中部㈱第二支社 福井支店",082752,2026-03-26,2026-05-09,181404,　サッポロ　飲みごたえ超無糖　シークヮーサー５００ｍｌ,4901880217044,24,0,0,1,0,×入荷予定なし
0008,プラザ店,1202,"国分中部㈱第二支社 福井支店",082752,2026-03-26,2026-05-09,181403,　サッポロ　飲みごたえ超無糖　シークヮーサー３５０ｍｌ,4901880217037,24,0,0,3,0,×入荷予定なし
0008,プラザ店,1202,"国分中部㈱第二支社 福井支店",082785,2026-04-10,2026-05-09,181401,　タカラ　焼酎ハイボール　東京グリーンレモン５００ｍｌ,4904670495554,24,0,0,1,0,×入荷予定なし
0008,プラザ店,1202,"国分中部㈱第二支社 福井支店",082785,2026-04-10,2026-05-09,133025,　宝　キングブランデーＶ．Ｏ　蘭　エコペット２．７Ｌ,4904670303989,6,0,0,2,0,×入荷予定なし
0008,プラザ店,1202,"国分中部㈱第二支社 福井支店",082785,2026-04-10,2026-05-09,181400,　タカラ　焼酎ハイボール　東京グリーンレモン３５０ｍｌ,4904670495523,24,0,0,3,0,×入荷予定なし
0008,プラザ店,1202,"国分中部㈱第二支社 福井支店",082786,2026-04-23,2026-05-09,211922,　ババリア　ノンアルコールビール　０．０％　レモン３３０ｍｌ,8714800049023,24,0,0,1,0,×入荷予定なし
0008,プラザ店,1202,"国分中部㈱第二支社 福井支店",082787,2026-05-02,2026-05-09,181269,　サッポロ　サッポロサワー　氷彩１９８４　３５０ｍｌ,4901880213756,24,0,0,1,0,×倉庫/仕入先不一致
0008,プラザ店,1202,"国分中部㈱第二支社 福井支店",082802,2026-05-08,2026-05-09,171303,　合同　しそ味わうお酒　赤鍛高譚７２０ｍｌ,4971980230960,6,0,0,0,1,×入荷予定なし
0008,プラザ店,1202,"国分中部㈱第二支社 福井支店",082812,2026-05-08,2026-05-09,143075,◎サッポロ　黒ラベル５００ｍｌ,4901880851453,24,0,0,8,0,×倉庫/仕入先不一致
0009,ヴィオ店,1202,"国分中部㈱第二支社 福井支店",082753,2026-03-26,2026-05-09,181403,　サッポロ　飲みごたえ超無糖　シークヮーサー３５０ｍｌ,4901880217037,24,0,0,2,0,×入荷予定なし
0009,ヴィオ店,1202,"国分中部㈱第二支社 福井支店",082753,2026-03-26,2026-05-09,181404,　サッポロ　飲みごたえ超無糖　シークヮーサー５００ｍｌ,4901880217044,24,0,0,1,0,×入荷予定なし
0009,ヴィオ店,1202,"国分中部㈱第二支社 福井支店",082788,2026-04-10,2026-05-09,133025,　宝　キングブランデーＶ．Ｏ　蘭　エコペット２．７Ｌ,4904670303989,6,0,0,1,0,×入荷予定なし
0009,ヴィオ店,1202,"国分中部㈱第二支社 福井支店",082788,2026-04-10,2026-05-09,181401,　タカラ　焼酎ハイボール　東京グリーンレモン５００ｍｌ,4904670495554,24,0,0,1,0,×入荷予定なし
0009,ヴィオ店,1202,"国分中部㈱第二支社 福井支店",082788,2026-04-10,2026-05-09,181400,　タカラ　焼酎ハイボール　東京グリーンレモン３５０ｍｌ,4904670495523,24,0,0,2,0,×入荷予定なし
0009,ヴィオ店,1202,"国分中部㈱第二支社 福井支店",082814,2026-05-08,2026-05-09,114117,　黄桜辛口一献パック３Ｌ,4901410062052,4,0,0,0,1,×倉庫/仕入先不一致
0009,ヴィオ店,1202,"国分中部㈱第二支社 福井支店",082814,2026-05-08,2026-05-09,121170,　２５°宝　極上焼酎ペット１．８Ｌ,4904670056038,6,0,0,0,2,×入荷予定なし
0009,ヴィオ店,1202,"国分中部㈱第二支社 福井支店",082814,2026-05-08,2026-05-09,122229,　２５°よかいち（麦）パック１．８Ｌ,4904670029667,6,0,0,0,4,×入荷予定なし
0009,ヴィオ店,1202,"国分中部㈱第二支社 福井支店",082814,2026-05-08,2026-05-09,173004,　宝　本みりん　醇良１Ｌ,4904670123747,12,0,0,1,0,×倉庫/仕入先不一致
0010,敦賀店,1202,"国分中部㈱第二支社 福井支店",082754,2026-03-26,2026-05-09,181403,　サッポロ　飲みごたえ超無糖　シークヮーサー３５０ｍｌ,4901880217037,24,0,0,3,0,×入荷予定なし
0010,敦賀店,1202,"国分中部㈱第二支社 福井支店",082754,2026-03-26,2026-05-09,181404,　サッポロ　飲みごたえ超無糖　シークヮーサー５００ｍｌ,4901880217044,24,0,0,1,0,×入荷予定なし
0010,敦賀店,1202,"国分中部㈱第二支社 福井支店",082789,2026-04-10,2026-05-09,181400,　タカラ　焼酎ハイボール　東京グリーンレモン３５０ｍｌ,4904670495523,24,0,0,4,0,×入荷予定なし
0010,敦賀店,1202,"国分中部㈱第二支社 福井支店",082789,2026-04-10,2026-05-09,133025,　宝　キングブランデーＶ．Ｏ　蘭　エコペット２．７Ｌ,4904670303989,6,0,0,3,0,×入荷予定なし
0010,敦賀店,1202,"国分中部㈱第二支社 福井支店",082789,2026-04-10,2026-05-09,181401,　タカラ　焼酎ハイボール　東京グリーンレモン５００ｍｌ,4904670495554,24,0,0,1,0,×入荷予定なし
0010,敦賀店,1202,"国分中部㈱第二支社 福井支店",082790,2026-04-24,2026-05-09,111356,　沢の鶴　純米酒　山田錦７２０ｍｌ,4901808032735,6,0,0,0,2,×入荷予定なし
0011,越前店,1202,"国分中部㈱第二支社 福井支店",082755,2026-03-26,2026-05-09,181403,　サッポロ　飲みごたえ超無糖　シークヮーサー３５０ｍｌ,4901880217037,24,0,0,4,0,×入荷予定なし
0011,越前店,1202,"国分中部㈱第二支社 福井支店",082755,2026-03-26,2026-05-09,181404,　サッポロ　飲みごたえ超無糖　シークヮーサー５００ｍｌ,4901880217044,24,0,0,1,0,×入荷予定なし
0011,越前店,1202,"国分中部㈱第二支社 福井支店",082791,2026-04-10,2026-05-09,133025,　宝　キングブランデーＶ．Ｏ　蘭　エコペット２．７Ｌ,4904670303989,6,0,0,3,0,×入荷予定なし
0011,越前店,1202,"国分中部㈱第二支社 福井支店",082791,2026-04-10,2026-05-09,181401,　タカラ　焼酎ハイボール　東京グリーンレモン５００ｍｌ,4904670495554,24,0,0,1,0,×入荷予定なし
0011,越前店,1202,"国分中部㈱第二支社 福井支店",082791,2026-04-10,2026-05-09,181400,　タカラ　焼酎ハイボール　東京グリーンレモン３５０ｍｌ,4904670495523,24,0,0,5,0,×入荷予定なし
0011,越前店,1202,"国分中部㈱第二支社 福井支店",082792,2026-05-01,2026-05-09,181269,　サッポロ　サッポロサワー　氷彩１９８４　３５０ｍｌ,4901880213756,24,0,0,2,0,×倉庫/仕入先不一致
0011,越前店,1202,"国分中部㈱第二支社 福井支店",082803,2026-05-08,2026-05-09,,Ｌ　バカルディ　リモン　新　　　　　　　,7610113028209,1,0,0,0,1,×商品未登録
0011,越前店,1202,"国分中部㈱第二支社 福井支店",082815,2026-05-08,2026-05-09,184726,　サッポロ　男梅サワー　３５０ｍｌ,4901880871932,24,0,0,1,0,×倉庫/仕入先不一致
0011,越前店,1202,"国分中部㈱第二支社 福井支店",082816,2026-05-08,2026-05-09,111041,　剣菱上撰１．８Ｌ,4900892211019,6,0,0,0,2,×倉庫/仕入先不一致
0011,越前店,1202,"国分中部㈱第二支社 福井支店",082816,2026-05-08,2026-05-09,112194,　一本義　山田錦１．８Ｌ,4973092006167,6,0,0,0,2,×倉庫/仕入先不一致
0011,越前店,1202,"国分中部㈱第二支社 福井支店",082816,2026-05-08,2026-05-09,112203,　一本義　辛爽系（からさわけい）純米吟醸７２０ｍｌ,4973092111311,12,0,0,0,4,×倉庫/仕入先不一致
0011,越前店,1202,"国分中部㈱第二支社 福井支店",082816,2026-05-08,2026-05-09,112957,　一本義　辛口純米酒７２０ｍｌ,4973092111229,12,0,0,0,3,×倉庫/仕入先不一致
0011,越前店,1202,"国分中部㈱第二支社 福井支店",082816,2026-05-08,2026-05-09,114189,　松竹梅天（てん）　飲みごたえ辛口パック３Ｌ,4904670295772,4,0,0,0,2,×倉庫/仕入先不一致
