item_code,mysql_item_id,mysql_item_name,parent_current_quantity,parent_available_quantity,oracle_shelves,oracle_stock_shelves,mysql_default_shelves,mysql_nonzero_lot_shelves,mysql_all_shelves,issue
119199,119199,　永平寺白龍　純米吟醸　夏さらら７２０ｍｌ,12,12,,,,G06307,G06307,mysql_location_but_oracle_no_shelf
119231,119231,　越の鷹　辛口純米吟醸７２０ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
119235,119235,　真名鶴　純米大吟醸７２０ｍｌ,-2,-2,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
119325,119325,　越前岬　槽搾り純米「九頭竜」１．８Ｌ　※卸不可,1,1,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119326,119326,　越前岬　純米吟醸原酒「斗瓶取り」７２０ｍｌ,0,0,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
119345,119345,　完売　永平寺白龍　ドラゴンウォーター　うすにごりミルキー７２０ｍｌ,24,24,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
119349,119349,　北の庄　純米吟醸３００ｍｌ,8,8,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
119403,119403,　北の庄　純米酒　カップ１８０ｍｌ,36,36,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
119404,119404,　福千歳　鯖純米７２０ｍｌ,-46,-36,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
119411,119411,　北の庄　純米大吟醸　望３００ｍｌ,133,133,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
119417,119417,　月暈　純米吟醸７２０ｍｌ,2,2,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
119418,119418,　月暈　純米７２０ｍｌ,7,7,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
119519,119519,　福千歳　ＲＩＣＥ　ＷＩＮＥ（らいすわいん）３００ｍｌ,6,6,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
119529,119529,　福千歳　ＦＵＫＵＩ　純米７２０ｍｌ,2,2,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
119530,119530,　福千歳　ＦＵＫＵＩ　純米３００ｍｌ,0,0,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
119576,119576,　花垣　純米大吟醸３００ｍｌ,2,2,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119622,119622,　永平寺白龍　米てきてき３００ｍｌ,6,6,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119623,119623,　永平寺白龍　水てきてき３００ｍｌ,6,6,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119624,119624,　永平寺白龍　土てきてき３００ｍｌ,6,6,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119625,119625,　一本義　大吟醸　事無笑酒　Ｒｅｇａｌｏ７２０ｍｌ（レガロ）　※直送・卸不可,6,6,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
119672,119672,　福千歳　蕎麦冷酒３００ｍｌ,12,12,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
119681,119681,　永平寺白龍　山田錦　純米大吟醸４０７２０ｍｌ（頒布会２０２５）,1,1,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119682,119682,　一乃谷　さかほまれ純米大吟醸　稀覯７２０ｍｌ（頒布会２０２５）,1,1,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119683,119683,　越前岬　さかほまれ純米大吟醸　あらばしり７２０ｍｌ（頒布会２０２５）,1,1,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119686,119686,　永平寺白龍　純米吉峯７２０ｍｌ,12,12,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119695,119695,　常山　純米辛口　超１．８Ｌ,2,2,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119718,119718,　真名鶴　純米大吟醸　奏雨３００ｍｌ,6,6,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
119726,119726,　越前岬　純米大吟醸１８０ｍｌ（プレミアム）,207,207,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
119729,119729,　若鹿　上撰１８０ｍｌ　スリム瓶　※レトロ代替,120,120,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119731,119731,　雲乃井　純米大吟醸　瑞雲７２０ｍｌ,12,12,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119735,119735,　越の鷹　辛口純米吟醸３００ｍｌ,2,2,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
119738,119738,　花垣　純米大吟醸　廻めぐり７２０ｍｌ,8,8,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
119739,119739,　関西　本醸造　上撰７２０ｍｌ,6,6,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119740,119740,　ツキガサ　純米吟醸　恐竜ラベル７２０ｍｌ,24,24,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119752,119752,　越の鷹　大辛口純米酒７２０ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
119758,119758,　永平寺白龍　純米吟醸生原酒７２０ｍｌ,12,12,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119774,119774,　越前岬　大吟醸　吟の雫　プレミアム生原酒　７２０ｍｌ,6,6,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
120000,120000,部システム １２０ ,41,41,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
121043,121043,　２５°宝　純７２０ｍｌ,3,3,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
121077,121077,　２５°サッポロ焼酎　北極星４Ｌ,8,8,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
121109,121109,　２５°ジャイアントペット４Ｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
121216,121216,　３５°宝焼酎　タカラカップ２２０ｍｌ,29,29,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
122171,122171,○２０°いいちこ（麦）瓶１．８Ｌ,1,1,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
122264,122264,　２０°わんこペット２．７Ｌ（麦）,15,15,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
122455,122455,　２５°なんこ７２０ｍｌ（芋）,1,1,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
122768,122768,　２５°黒力　紫芋４Ｌ,-2,-2,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
122870,122870,　２３°バリピ！（ＢａｒｉＰｉ！）７２０ｍｌ（麦）,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
122887,122887,　２５°本格芋焼酎　伊七郎７２０ｍｌ,45,45,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
122895,122895,　２５°本格芋焼酎　伊七郎　１．８Ｌ,17,17,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
122898,122898,×２５°長期調和熟成麦焼酎　千年華７２０ｍｌ,9,9,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
122957,122957,　２５°橙華１．８Ｌ（芋）,4,4,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
123013,123013,×２５°黒丸１．８Ｌ（芋）,3,3,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
123261,123261,×２５°西郷が里５Ｌ（芋）,4,4,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
123342,123342,　３０°ニコニコ太郎１．８Ｌ（泡盛）,4,4,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
123370,123370,　２５°本格麦焼酎　さつま雷パック１．８Ｌ（麦）,-8,-8,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
123390,123390,　２５°田苑　金ラベル９００ｍｌ（麦）,10,10,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
123429,123429,　２５°黒丸　黒７２０ｍｌ（芋）,12,12,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
123478,123478,　２５°薩摩一７２０ｍｌ（芋）,30,30,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
123485,123485,　２５°白鶴　本格麦焼酎　千夜一酔７２０ｍｌ,7,7,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
123486,123486,　２５°女帝　麦１．８Ｌ,6,6,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
123488,123488,×２５°金黒９００ｍｌ（芋）,13,13,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
123569,123569,　２５°いいちこ　深薫１．８Ｌ（麦）,16,16,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
123908,123908,　２０°西の星１．８Ｌ（麦）,4,4,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
131264,131264,　サントリー　レッド　１８０ｍｌ,6,6,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
131524,131524,　桜尾蒸留所　ソガイニ　７００ｍｌ,1,1,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
131530,131530,　御岳蒸留所　日置　Ｈｉｏｋｉ　１．８Ｌ瓶,12,12,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
131534,131534,　ニッカ　フロンティア　４Ｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
132022,132022,　メーカーズマーク　１Ｌ,9,9,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
132067,132067,　ジョニーウォーカー　ブロンド　７００ｍｌ,9,9,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
132069,132069,　アイラミスト８年　アモンティリャードカスク　ミニセレクション１００ｍｌ,1,1,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
132224,132224,　グレンリベット　１８年　（正規）７００ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
132383,132383,　ボウモア　１８年　７００ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
132395,132395,　ジムビーム　ダブルオーク　７００ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
132893,132893,　ジョニーウォーカー１８年　７００ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
132899,132899,　ボウモア１２年　７００ｍｌ,6,6,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
133034,133034,　☆★サントリー　ＸＯデラックス　７００ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
134001,134001,　カミュＶＳＯＰエレガンス７００ｍｌ,2,2,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
134023,134023,　レミーマルタン　ＸＯ　エクセレンス　７００ｍｌ　（正規品）,1,1,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
140000,140000,部システム １４０   分類,76,76,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
141043,141043,○サッポロ　エビス　大瓶６３３ｍｌ,,,B01102|YX0000,,,,,missing_mysql_default
141336,141336,　アサヒ　スーパードライ　冷涼辛口　中瓶５００ｍｌ,100,100,,,,AG30SN|Z00,AG30SN|Z00,mysql_location_but_oracle_no_shelf
142388,142388,　網走ビール　桜ドラフト３５０ｍｌ缶,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
142453,142453,　サントリー　東京クラフト　フルーティーエール３５０ｍｌ,6,6,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
142606,142606,　　ブリュードッグパンクＩＰＡ　缶３５０ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
143201,143201,　タップマルシェ　豊潤（４９６）６Ｌ,-1,1,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
143333,143333,　タップマルシェ　スプリングバレー　ホップ飲みくらべセット６Ｌ,1,1,,,,Z00,Z00,mysql_location_but_oracle_no_shelf
147044,147044,　アサヒ　スタイルフリー５００ｍｌ,,,K08301|Q00000,,,,,missing_mysql_default
149293,149293,　ブリュードッグ　エルビスジュース　缶３３０ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
149322,149322,　ＡＢインベブ　モデロ　エスペシアル３５５ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
149868,149868,　ブリュードッグ　ヘイジージェーン　ＮＥＩＰＡ　缶３３０ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
150000,150000,部部システム１５０　分類,152,152,,,Z00,Z00,Z00,mysql_location_but_oracle_no_shelf
151031,151031,　アルプス　あずさワイン　無添加コンコード　７２０ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
151034,151034,　メルシャン　おいしい酸化防止剤無添加赤ワイン　厳選素材　７２０ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
151049,151049,　あずさワイン　ブラック甘口　７２０ｍｌ,,,,,Z00,,Z00,mysql_location_but_oracle_no_shelf
