仕入先CD,仕入先名,document_id,batch_code,元メッセージID,倉庫CD,倉庫名,商品CD,商品名,誤発注CD,正発注CD,数量,元ファイル
1021,カナカン(株)酒類　福井営業所,8,20260506105835071,put_69facbb2af5a5_20260506140346@lw-hana.co.jp,71,特販課,184185,　ニッカ　ブラックニッカ　クリアハイボール３５０ｍｌ,空欄,4904230076049,1,jx-orders/2026-05-06/1106_order_20260506111030.dat
1106,"カナカン(株)食品  福井営業所",46,20260506122218021,put_69facb22b2ad1_20260506140122@lw-hana.co.jp,21,江守店,211052,　ウィルキンソン　タンサン　レモン５００ｍｌＰＥＴ,空欄,4514603347418,1,jx-orders/2026-05-06/1106_order_20260506123554.dat
1106,"カナカン(株)食品  福井営業所",31,20260506120534091,put_69facb51ccfc6_20260506140209@lw-hana.co.jp,91,華むすびの蔵センター,211076,　アサヒ　三ツ矢サイダー缶２５０ｍｌ,空欄,4514603217612,4,jx-orders/2026-05-06/1106_order_20260506121256.dat
1106,"カナカン(株)食品  福井営業所",5,20260506102357091,put_69facbbb49e2b_20260506140355@lw-hana.co.jp,91,華むすびの蔵センター,211076,　アサヒ　三ツ矢サイダー缶２５０ｍｌ,空欄,4514603217612,4,jx-orders/2026-05-06/1106_order_20260506104501.dat
1127,"カナカン(株)菓子  福井営業所",8,20260506105835071,put_69facbb2af5a5_20260506140346@lw-hana.co.jp,71,特販課,322703,　五月ヶ瀬メイシャローズ２０枚,空欄,4981175030527,5,jx-orders/2026-05-06/1106_order_20260506111030.dat
1202,"国分中部㈱第二支社 福井支店",49,20260506122300091,put_69facb19616d4_20260506140113@lw-hana.co.jp,91,華むすびの蔵センター,211019,　ホッピービバレッジホッピーブラック３３０ｍｌ,空欄,4971701311138,1,jx-orders/2026-05-06/1202_order_20260506125108.dat
1202,"国分中部㈱第二支社 福井支店",49,20260506122300091,put_69facb19616d4_20260506140113@lw-hana.co.jp,91,華むすびの蔵センター,112957,　一本義　辛口純米酒７２０ｍｌ,空欄,4973092111229,2,jx-orders/2026-05-06/1202_order_20260506125108.dat
1202,"国分中部㈱第二支社 福井支店",13,20260506112326071,put_69facb8851f67_20260506140304@lw-hana.co.jp,71,特販課,142654,　サッポロ　生ビール　ナナマル３５０ｍｌ（新）,空欄,4901880211462,4,jx-orders/2026-05-06/1202_order_20260506113427.dat
1202,"国分中部㈱第二支社 福井支店",9,20260506105835071,put_69facba050fc8_20260506140328@lw-hana.co.jp,71,特販課,242085,　缶つま　九州産ぶりあら炊き１５０ｇ,空欄,4901592930330,5,jx-orders/2026-05-06/1202_order_20260506111031.dat
1202,"国分中部㈱第二支社 福井支店",1,20260506091053091,put_69facbc34b7d3_20260506140403@lw-hana.co.jp,91,華むすびの蔵センター,149693,　ＡＢインベブ　バドワイザー　缶３３０ｍｌ,空欄,4589724813357,2,jx-orders/2026-05-06/1202_order_20260506091843.dat
1330,三菱食品株式会社,53,20260506123134091,put_69facb0853900_20260506140056@lw-hana.co.jp,91,華むすびの蔵センター,211485,　キリン　零ＩＣＨＩ（ゼロイチ）３５０ｍｌ,空欄,4901411092577,2,jx-orders/2026-05-06/1330_order_20260506125113.dat
1330,三菱食品株式会社,53,20260506123134091,put_69facb0853900_20260506140056@lw-hana.co.jp,91,華むすびの蔵センター,142056,　ハイネケンロングネック瓶３３０ｍｌ,空欄,4595315464013,4,jx-orders/2026-05-06/1330_order_20260506125113.dat
1330,三菱食品株式会社,53,20260506123134091,put_69facb0853900_20260506140056@lw-hana.co.jp,91,華むすびの蔵センター,172082,　ベイリーズ　アイリッシュクリーム　７００ｍｌ,空欄,5011013100156,2,jx-orders/2026-05-06/1330_order_20260506125113.dat
1330,三菱食品株式会社,53,20260506123134091,put_69facb0853900_20260506140056@lw-hana.co.jp,91,華むすびの蔵センター,213082,　キリン　小岩井　純水りんご１．５Ｌ,空欄,4909411077013,8,jx-orders/2026-05-06/1330_order_20260506125113.dat
1330,三菱食品株式会社,53,20260506123134091,put_69facb0853900_20260506140056@lw-hana.co.jp,91,華むすびの蔵センター,213218,　キリン小岩井　純水ぶどう１．５Ｌ,空欄,4909411077037,4,jx-orders/2026-05-06/1330_order_20260506125113.dat
1330,三菱食品株式会社,47,20260506123303003,put_69facb1f8dedd_20260506140119@lw-hana.co.jp,3,坂井店,185838,　キリン　氷結　無糖グレープフルーツ　Ａｌｃ．７％　５００ｍｌ,空欄,4901411130859,1,jx-orders/2026-05-06/1330_order_20260506125000.dat
1330,三菱食品株式会社,47,20260506123303003,put_69facb1f8dedd_20260506140119@lw-hana.co.jp,3,坂井店,184535,　キリン　氷結ストロング　シチリア産レモン糖類ゼロ　５００ｍｌ,空欄,4901411035116,1,jx-orders/2026-05-06/1330_order_20260506125000.dat
1330,三菱食品株式会社,19,20260506120328021,put_69facb7a06588_20260506140250@lw-hana.co.jp,21,江守店,143180,　キリンクラシックラガー５００ｍｌ,空欄,4901411004754,2,jx-orders/2026-05-06/1330_order_20260506120700.dat
1330,三菱食品株式会社,14,20260506112326071,put_69facb8b75e36_20260506140307@lw-hana.co.jp,71,特販課,143178,　キリンクラシックラガー３５０ｍｌ,空欄,4901411004716,4,jx-orders/2026-05-06/1330_order_20260506113427.dat
1330,三菱食品株式会社,2,20260506091053091,put_69facbc603355_20260506140406@lw-hana.co.jp,91,華むすびの蔵センター,143052,　ハイネケン３５０ｍｌ,空欄,4595315464037,2,jx-orders/2026-05-06/1330_order_20260506091844.dat
